Time,step,pos_x,pos_y,angle,action,reward,episode_reward
2019年11月17日13:57:31,7,5.0,53.0,45,1,-11.504060872910900,-111.92774449867200
2019年11月17日13:57:36,8,5.0,50.666666666666700,45,1,-13.908348312236900,-125.83609281090900
2019年11月17日13:57:42,9,5.666666666666670,48.0,45,1,-6.8386852990536800,-132.67477810996300
2019年11月17日13:57:57,0,8.845149993896480,48.24333699544270,58,1,17.05311245889620,17.05311245889620
2019年11月17日13:58:02,1,8.215289433797200,48.754486083984400,50,1,-10.0,7.05311245889618
2019年11月17日13:58:08,2,8.215289433797200,48.754486083984400,50,1,-10.0,-2.94688754110382
2019年11月17日13:58:13,3,8.215289433797200,48.754486083984400,36,1,-10.0,-12.94688754110380
2019年11月17日13:58:19,4,8.215289433797200,48.754486083984400,29,1,-10.0,-22.94688754110380
2019年11月17日13:58:25,5,9.666666666666670,77.33333333333330,25,1,-16.00099717132420,-38.94788471242810
2019年11月17日13:58:32,6,10.01111094156900,82.99444580078130,53,3,-26.116436803076800,-65.06432151550480
2019年11月17日13:58:38,7,9.333333333333330,85.16666666666670,60,3,-18.602181342841700,-83.66650285834650
2019年11月17日13:58:46,8,8.415457407633460,85.18832906087240,58,0,-7.513500278771230,-91.18000313711780
2019年11月17日13:58:52,9,9.232142766316730,85.16666666666670,35,3,-1.1491510511666500,-92.3291541882844
2019年11月17日13:59:17,0,17.666666666666700,85.16666666666670,0,3,60.152633411825000,60.152633411825000
2019年11月17日13:59:24,1,46.5,85.66666666666670,55,3,276.5719943427710,336.72462775459600
2019年11月17日13:59:29,2,52.833333333333300,84.66666666666670,51,1,92.0600161976256,428.78464395222200
2019年11月17日13:59:35,3,49.333333333333300,85.33333333333330,43,1,-9.685974839763110,419.0986691124580
2019年11月17日13:59:40,4,50.252054850260400,85.64532470703130,42,1,-14.383251073386400,404.715418039072
2019年11月17日13:59:45,5,50.333333333333300,85.83333333333330,41,1,404.0196242759430,808.7350423150150
2019年11月17日13:59:51,6,50.0,85.16666666666670,42,1,-11.636968717556600,797.0980735974590
2019年11月17日13:59:57,7,50.333333333333300,85.83333333333330,42,1,-9.601824183249900,787.4962494142090
2019年11月17日14:00:02,8,50.166666666666700,86.0,42,1,-10.636718926246000,776.859530487963
2019年11月17日14:00:08,9,50.01587422688800,85.39683024088540,41,1,-8.640691427741840,768.2188390602210
2019年11月17日14:00:13,10,49.76178995768230,85.35121663411460,41,1,-11.362052545989600,756.8567865142320
